2025-10-25 18:40:56.458 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:40:56.461 | INFO | Connected to device: auto
2025-10-25 18:40:56.463 | INFO | AdbDevice = AdbDevice(serial=auto)
2025-10-25 18:40:56.464 | INFO | Current config: Serial='auto', PackageName='auto'
2025-10-25 18:40:56.467 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:40:56.468 | INFO | Found 1 devices total
2025-10-25 18:40:56.469 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-10-25 18:40:56.470 | INFO | Available devices (status='device'): 1
2025-10-25 18:40:56.471 | INFO | Using AUTO mode to select device
2025-10-25 18:40:56.472 | INFO |  Auto selected device: 127.0.0.1:16384 (only one available)
2025-10-25 18:40:56.473 | INFO | Selected device: 127.0.0.1:16384
2025-10-25 18:40:56.475 | ERROR | Failed to list packages: device 'auto' not found
2025-10-25 18:40:56.476 | ERROR | Benchmark failed: device 'auto' not found
2025-10-25 18:41:25.681 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:41:25.686 | INFO | Connected to device: auto
2025-10-25 18:41:25.687 | INFO | AdbDevice = AdbDevice(serial=auto)
2025-10-25 18:41:25.689 | INFO | Current config: Serial='auto', PackageName='auto'
2025-10-25 18:41:25.691 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:41:25.692 | INFO | Found 1 devices total
2025-10-25 18:41:25.693 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-10-25 18:41:25.694 | INFO | Available devices (status='device'): 1
2025-10-25 18:41:25.695 | INFO | Using AUTO mode to select device
2025-10-25 18:41:25.697 | INFO |  Auto selected device: 127.0.0.1:16384 (only one available)
2025-10-25 18:41:25.698 | INFO | Selected device: 127.0.0.1:16384
2025-10-25 18:41:25.700 | ERROR | Failed to list packages: device 'auto' not found
2025-10-25 18:41:25.701 | ERROR | Benchmark failed: device 'auto' not found
2025-10-25 18:44:50.215 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:44:50.219 | INFO | Connected to device: auto
2025-10-25 18:44:50.220 | INFO | AdbDevice = AdbDevice(serial=auto)
2025-10-25 18:44:50.223 | INFO | Current config: Serial='auto', PackageName='auto'
2025-10-25 18:44:50.225 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:44:50.226 | INFO | Found 1 devices total
2025-10-25 18:44:50.227 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-10-25 18:44:50.228 | INFO | Available devices (status='device'): 1
2025-10-25 18:44:50.230 | INFO | Using AUTO mode to select device
2025-10-25 18:44:50.232 | INFO |  Auto selected device: 127.0.0.1:16384 (only one available)
2025-10-25 18:44:50.232 | INFO | Selected device: 127.0.0.1:16384
2025-10-25 18:44:50.234 | ERROR | Failed to list packages: device 'auto' not found
2025-10-25 18:44:50.235 | ERROR | Benchmark failed: device 'auto' not found
2025-10-25 18:45:12.375 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:45:12.378 | INFO | Connected to device: auto
2025-10-25 18:45:12.380 | INFO | AdbDevice = AdbDevice(serial=auto)
2025-10-25 18:45:12.382 | INFO | Current config: Serial='auto', PackageName='auto'
2025-10-25 18:45:12.384 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 18:45:12.386 | INFO | Found 1 devices total
2025-10-25 18:45:12.387 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-10-25 18:45:12.387 | INFO | Available devices (status='device'): 1
2025-10-25 18:45:12.388 | INFO | Using AUTO mode to select device
2025-10-25 18:45:12.389 | INFO |  Auto selected device: 127.0.0.1:16384 (only one available)
2025-10-25 18:45:12.391 | INFO | Selected device: 127.0.0.1:16384
2025-10-25 18:45:12.393 | ERROR | Failed to list packages: device 'auto' not found
2025-10-25 18:45:12.395 | ERROR | Benchmark failed: device 'auto' not found
2025-10-25 20:15:36.945 | INFO | 配置文件：cwj.json
2025-10-25 20:15:36.948 | INFO | 截图方式：DroidCast_raw
2025-10-25 20:15:36.949 | INFO | 点击方式：ADB
2025-10-25 20:15:36.962 | INFO | Connecting to 127.0.0.1:16384 (trial 1/3)
2025-10-25 20:15:38.071 | INFO | Connected to device: 127.0.0.1:16384
2025-10-25 20:15:38.073 | INFO | AdbDevice = AdbDevice(serial=127.0.0.1:16384)
2025-10-25 20:15:38.075 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-10-25 20:15:38.077 | INFO | Found device: 127.0.0.1:16384 (device)
2025-10-25 20:15:38.079 | INFO | Found 1 devices total
2025-10-25 20:15:38.080 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-10-25 20:15:38.082 | INFO | Available devices (status='device'): 1
2025-10-25 20:15:38.084 | INFO | Selected device: 127.0.0.1:16384
2025-10-25 20:15:38.116 | INFO | Detected package: com.bilibili.priconne
2025-10-25 20:15:38.119 | INFO | PackageName = com.bilibili.priconne
2025-10-25 20:15:38.121 | INFO | Device initialized successfully
2025-10-25 20:15:38.122 | INFO | Scheduler: Start task `Start`
2025-10-25 20:15:38.125 | INFO | App start: com.bilibili.priconne
2025-10-25 20:15:38.127 | INFO | Starting app via AM: com.bilibili.priconne/com.bilibili.permission.PermissionActivity
2025-10-25 20:15:38.418 | INFO | App started successfully
2025-10-25 20:15:38.421 | INFO | Update droidcast resolution
2025-10-25 20:15:40.553 | INFO | Device Orientation = 1 (HOME key on the right)
2025-10-25 20:15:40.554 | INFO | Droidcast resolution: (720, 1280)
2025-10-25 20:15:40.556 | INFO | Create forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20255', remote='tcp:53516')
2025-10-25 20:15:40.562 | ERROR | ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-10-25 20:15:43.564 | INFO | [bold]<<< DROIDCAST INIT >>>[/bold]
2025-10-25 20:15:43.565 | INFO | Stopping DroidCast
2025-10-25 20:15:43.663 | INFO | Update droidcast resolution
2025-10-25 20:15:43.695 | INFO | Device Orientation = 1 (HOME key on the right)
2025-10-25 20:15:43.696 | INFO | Droidcast resolution: (720, 1280)
2025-10-25 20:15:43.698 | INFO | Pushing DroidCast apk
2025-10-25 20:15:43.808 | INFO | Starting DroidCast apk
2025-10-25 20:15:43.817 | INFO | ShellBackgroundResponse(success=True, pid=3150, description='Successfully started program: CLASSPATH=/data/local/tmp/DroidCast_raw.apk app_process / ink.mol.droidcast_raw.Main > /dev/null')
2025-10-25 20:15:43.820 | INFO | Reuse forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20255', remote='tcp:53516')
2025-10-25 20:15:43.823 | INFO | DroidCast_raw = http://127.0.0.1:20255/screenshot?width=1280&height=720
2025-10-25 20:15:44.085 | INFO | DroidCast = offline
2025-10-25 20:15:44.338 | INFO | DroidCast = offline
2025-10-25 20:15:44.598 | INFO | DroidCast = online
2025-10-25 20:15:44.917 | DEBUG | MAIN_CHECK 加载模板图像: ./assets/handler/MAIN_CHECK.png
2025-10-25 20:15:44.956 | DEBUG | MAIN_CHECK 模板图像加载成功, shape: (45, 43, 3)
2025-10-25 20:15:44.981 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:44.983 | DEBUG | MAIN_CHECK 模板匹配结果: False
