2025-11-11 19:42:31.373 | INFO | Assets extract
2025-11-11 19:42:31.515 | INFO | Module: character(15)
2025-11-11 19:42:31.538 | INFO | Module: handler(2)
2025-11-11 19:42:31.550 | INFO | Module: train(1)
2025-11-11 19:42:31.643 | INFO | Module: ui(9)
2025-11-11 19:42:33.714 | INFO | Bind task ['Pcr']
2025-11-11 19:42:33.719 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:42:38.857 | INFO | Found 0 devices total
2025-11-11 19:42:38.859 | INFO | Available devices: []
2025-11-11 19:42:38.860 | INFO | Found 0 devices total
2025-11-11 19:42:38.861 | INFO | Available devices: []
2025-11-11 19:42:38.862 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:42:41.867 | INFO | Found 0 devices total
2025-11-11 19:42:41.869 | INFO | Available devices (status='device'): 0
2025-11-11 19:42:41.871 | ERROR | No available devices found
2025-11-11 19:42:41.872 | CRITICAL | No devices available
2025-11-11 19:42:41.873 | INFO | 可能的原因:
2025-11-11 19:42:41.874 | INFO |   - MuMu 模拟器未启动
2025-11-11 19:42:41.875 | INFO |   - ADB 连接未建立
2025-11-11 19:42:41.876 | INFO |   - 模拟器 ADB 端口配置错误
2025-11-11 19:42:41.877 | WARNING | Emulator not running, trial 1/4
2025-11-11 19:42:41.914 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:42:41.916 | INFO | Found 0 devices total
2025-11-11 19:42:41.917 | INFO | Available devices: []
2025-11-11 19:42:41.918 | INFO | Found 0 devices total
2025-11-11 19:42:41.919 | INFO | Available devices: []
2025-11-11 19:42:41.920 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:42:44.924 | INFO | Found 0 devices total
2025-11-11 19:42:44.925 | INFO | Available devices (status='device'): 0
2025-11-11 19:42:44.927 | ERROR | No available devices found
2025-11-11 19:42:44.927 | CRITICAL | No devices available
2025-11-11 19:42:44.928 | INFO | 可能的原因:
2025-11-11 19:42:44.930 | INFO |   - MuMu 模拟器未启动
2025-11-11 19:42:44.930 | INFO |   - ADB 连接未建立
2025-11-11 19:42:44.931 | INFO |   - 模拟器 ADB 端口配置错误
2025-11-11 19:42:44.932 | WARNING | Emulator not running, trial 2/4
2025-11-11 19:42:44.933 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:42:44.934 | INFO | Found 0 devices total
2025-11-11 19:42:44.936 | INFO | Available devices: []
2025-11-11 19:42:44.937 | INFO | Found 0 devices total
2025-11-11 19:42:44.938 | INFO | Available devices: []
2025-11-11 19:42:44.939 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:42:47.943 | INFO | Found 0 devices total
2025-11-11 19:42:47.945 | INFO | Available devices (status='device'): 0
2025-11-11 19:42:47.946 | ERROR | No available devices found
2025-11-11 19:42:47.947 | CRITICAL | No devices available
2025-11-11 19:42:47.948 | INFO | 可能的原因:
2025-11-11 19:42:47.949 | INFO |   - MuMu 模拟器未启动
2025-11-11 19:42:47.950 | INFO |   - ADB 连接未建立
2025-11-11 19:42:47.951 | INFO |   - 模拟器 ADB 端口配置错误
2025-11-11 19:42:47.951 | WARNING | Emulator not running, trial 3/4
2025-11-11 19:42:47.953 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:42:47.954 | INFO | Found 0 devices total
2025-11-11 19:42:47.957 | INFO | Available devices: []
2025-11-11 19:42:47.959 | INFO | Found 0 devices total
2025-11-11 19:42:47.960 | INFO | Available devices: []
2025-11-11 19:42:47.960 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:44:24.385 | INFO | Bind task ['Pcr']
2025-11-11 19:44:24.390 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:44:24.391 | INFO | Found 0 devices total
